unique_id,zone,ward_type,ward_name,school_count,area_sqkm,n_schools,total_enrolment,total_classrooms,total_seat_capacity,total_teachers,MI,PTR,child_pop_6_18,seat_capacity,MI_demand,out_of_school,enrolment_ratio
012E,E,MCD,Patpar Ganj,11,8.928060899085551,11,10687.0,264.0,10560.0,404.0,1.012026515151515,26.452970297029704,27890,10560.0,2.641098484848485,17203.0,0.3831839368949444
011E,E,MCD,Mayur Vihar Phase-II,16,2.325254642296072,16,13007.0,341.0,13640.0,551.0,0.9535923753665688,23.60617059891107,13728,13640.0,1.0064516129032257,721.0,0.9474796037296037
010E,E,MCD,Vinod Nagar,8,0.8320870010004628,8,12129.0,325.0,13000.0,408.0,0.933,29.727941176470587,3870,13000.0,0.2976923076923077,-8259.0,3.134108527131783
009E,E,MCD,Mandawali,14,0.5774091742990531,14,13297.0,294.0,11760.0,462.0,1.1306972789115646,28.78138528138528,2884,11760.0,0.24523809523809523,-10413.0,4.610610263522885
002E,E,MCD,Trilokpuri-East,15,0.6334254322106376,15,19443.0,462.0,18480.0,698.0,1.0521103896103896,27.85530085959885,2544,18480.0,0.13766233766233765,-16899.0,7.642688679245283
001E,E,MCD,Mayur Vihar Phase-I,11,0.9682832838827184,11,13482.0,340.0,13600.0,494.0,0.9913235294117648,27.291497975708506,3102,13600.0,0.22808823529411765,-10380.0,4.346228239845261
003E,E,MCD,Trilokpuri-West,10,1.0199988411289005,10,4651.0,204.0,8160.0,158.0,0.5699754901960784,29.43670886075949,4811,8160.0,0.5895833333333333,160.0,0.9667428808979422
004E,E,MCD,New Ashok Nagar,3,1.1382309637263872,3,4672.0,131.0,5240.0,153.0,0.8916030534351145,30.535947712418302,5641,5240.0,1.076526717557252,969.0,0.828221946463393
005E,E,MCD,,0,3.709135820464572,0,0.0,0.0,0.0,0.0,,,18082,0.0,inf,18082.0,0.0
008E,E,MCD,Kalyan Puri,8,0.4991401720127416,8,7046.0,187.0,7480.0,253.0,0.9419786096256684,27.849802371541504,2868,7480.0,0.38342245989304813,-4178.0,2.4567642956764297
006E,E,MCD,Gharoli,15,1.989047258147689,15,13533.0,372.0,14880.0,393.0,0.9094758064516127,34.43511450381679,7282,14880.0,0.4893817204301075,-6251.0,1.858418017028289
007E,E,MCD,,0,1.5799498025699077,0,0.0,0.0,0.0,0.0,,,7662,0.0,inf,7662.0,0.0
019E,E,MCD,I.P. Extension,7,4.007164893560266,7,8121.0,202.0,8080.0,269.0,1.0050742574257423,30.189591078066915,17932,8080.0,2.2193069306930693,9811.0,0.4528775373633727
020E,E,MCD,Preet Vihar,2,2.773704431010984,2,1860.0,55.0,2200.0,85.0,0.8454545454545455,21.88235294117647,14667,2200.0,6.666818181818182,12807.0,0.12681529965228064
018E,E,MCD,Anand Vihar,8,3.07041165811323,8,5728.0,181.0,7240.0,246.0,0.7911602209944751,23.284552845528456,15427,7240.0,2.1308011049723756,9699.0,0.3712970765540935
017E,E,MCD,Vishwas Nagar,10,2.3710822347880085,10,6906.0,211.0,8440.0,278.0,0.8182464454976304,24.841726618705035,11668,8440.0,1.3824644549763032,4762.0,0.5918752142612272
031E,E,MCD,Shahdara,15,0.9023194251352143,15,12256.0,281.0,11240.0,464.0,1.090391459074733,26.41379310344828,4953,11240.0,0.44065836298932387,-7303.0,2.474459923278821
030E,E,MCD,Jhilmil,7,0.8653571231688469,7,5095.0,132.0,5280.0,214.0,0.9649621212121212,23.80841121495327,4903,5280.0,0.9285984848484848,-192.0,1.0391596981439934
029E,E,MCD,Vivek Vihar,7,2.2920461911978576,7,5308.0,193.0,7720.0,172.0,0.6875647668393783,30.86046511627907,12085,7720.0,1.5654145077720207,6777.0,0.4392221762515515
028E,E,MCD,Dilshad Colony,7,0.7901249387188112,7,12112.0,199.0,7960.0,387.0,1.521608040201005,31.297157622739014,4363,7960.0,0.5481155778894472,-7749.0,2.7760715104286042
034E,E,MCD,New Seemapuri,14,0.9027443441091868,14,13248.0,365.0,14600.0,356.0,0.9073972602739726,37.21348314606742,4891,14600.0,0.335,-8357.0,2.7086485381312615
035E,E,MCD,Dilshad Garden,9,2.0168839885449814,9,15774.0,326.0,13040.0,551.0,1.2096625766871163,28.627949183303084,11292,13040.0,0.8659509202453988,-4482.0,1.3969181721572794
033E,E,MCD,Sunder Nagri,15,0.4842001108731679,15,10217.0,296.0,11840.0,337.0,0.8629222972972973,30.317507418397625,2558,11840.0,0.2160472972972973,-7659.0,3.9941360437842066
032E,E,MCD,Nand Nagri,15,0.864664463465088,15,13982.0,400.0,16000.0,559.0,0.873875,25.01252236135957,5616,16000.0,0.351,-8366.0,2.489672364672365
036E,E,MCD,Ashok Nagar,7,0.9793872621602182,7,8450.0,204.0,8160.0,318.0,1.0355392156862746,26.57232704402516,6554,8160.0,0.803186274509804,-1896.0,1.2892889838266708
037E,E,MCD,Ram Nagar,14,0.8456217868495138,14,14222.0,352.0,14080.0,573.0,1.0100852272727272,24.820244328097733,4854,14080.0,0.34474431818181817,-9368.0,2.9299546765554183
038E,E,MCD,Rohtash Nagar,7,1.1939459201514044,7,1424.0,94.0,3760.0,68.0,0.3787234042553191,20.94117647058824,6731,3760.0,1.7901595744680852,5307.0,0.21155846085277077
039E,E,MCD,Welcome Colony,8,1.077582439499943,8,2812.0,152.0,6080.0,90.0,0.4625,31.244444444444444,5944,6080.0,0.9776315789473684,3132.0,0.4730820995962315
021E,E,MCD,Krishna Nagar,19,1.9002987199401076,19,13214.0,342.0,13680.0,524.0,0.96593567251462,25.2175572519084,10110,13680.0,0.7390350877192983,-3104.0,1.30702274975272
023E,E,MCD,Ghondli,8,0.8228071584592307,8,4428.0,137.0,5480.0,166.0,0.808029197080292,26.674698795180724,3877,5480.0,0.7074817518248175,-551.0,1.1421201960278566
022E,E,MCD,Anarkali,7,0.7806381715023815,7,2815.0,87.0,3480.0,103.0,0.8089080459770115,27.33009708737864,4337,3480.0,1.2462643678160918,1522.0,0.6490661747751902
016E,E,MCD,Pandav Nagar,6,3.830956854106576,6,2752.0,75.0,3000.0,95.0,0.9173333333333332,28.96842105263158,13499,3000.0,4.499666666666666,10747.0,0.2038669531076376
015E,E,MCD,Shakarpur,9,3.685737421739264,9,8024.0,258.0,10320.0,318.0,0.7775193798449612,25.23270440251572,15755,10320.0,1.5266472868217054,7731.0,0.5092986353538559
014E,E,MCD,Lakshmi Nagar,6,1.2134572621753228,6,4326.0,128.0,5120.0,175.0,0.844921875,24.72,6941,5120.0,1.3556640625,2615.0,0.6232531335542429
013E,E,MCD,Kishan Kunj,6,2.113018614054244,6,3555.0,101.0,4040.0,139.0,0.879950495049505,25.575539568345324,6300,4040.0,1.5594059405940595,2745.0,0.5642857142857143
025E,E,MCD,SHASTRI PARK,14,3.329435402241178,14,9213.0,298.0,11920.0,357.0,0.7729026845637584,25.80672268907563,13036,11920.0,1.0936241610738255,3823.0,0.7067351948450445
026E,E,MCD,Kanti Nagar,9,0.8370563160289779,9,6586.0,171.0,6840.0,231.0,0.9628654970760234,28.51082251082251,4842,6840.0,0.7078947368421052,-1744.0,1.3601817430813714
027E,E,MCD,Raghubarpura,12,1.364752801926584,12,6037.0,199.0,7960.0,193.0,0.7584170854271357,31.27979274611399,7703,7960.0,0.9677135678391959,1666.0,0.783720628326626
043E,E,MCD,Gautam Puri,17,3.499906031224771,17,15280.0,390.0,15600.0,571.0,0.9794871794871794,26.760070052539405,7267,15600.0,0.4658333333333333,-8013.0,2.1026558414751615
042E,E,MCD,Seelampur,19,0.8027336349281152,19,18495.0,510.0,20400.0,700.0,0.9066176470588236,26.42142857142857,4888,20400.0,0.2396078431372549,-13607.0,3.783756137479542
041E,E,MCD,Chauhan Banger,6,0.3471859792468347,6,3400.0,76.0,3040.0,101.0,1.118421052631579,33.663366336633665,2333,3040.0,0.7674342105263158,-1067.0,1.4573510501500215
040E,E,MCD,Maujpur,5,0.9184371366445244,5,6937.0,152.0,6080.0,209.0,1.1409539473684212,33.19138755980861,5838,6080.0,0.9601973684210526,-1099.0,1.1882494004796162
048E,E,MCD,Subhash Mohalla,5,0.7139279694858716,5,5616.0,130.0,5200.0,199.0,1.08,28.22110552763819,4957,5200.0,0.9532692307692308,-659.0,1.1329433124873916
049E,E,MCD,Kardam Puri,6,1.1765276110903529,6,4627.0,120.0,4800.0,160.0,0.9639583333333334,28.91875,7950,4800.0,1.65625,3323.0,0.5820125786163522
