pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
5860531,9,9,2,2,2,1,1,10,6,2,2,1,1,9,75000,75000
9417774,1,9,2,1,1,2,2,1,36,1,1,1,9,2,51348,51348
4301878,1,9,1,1,1,1,1,2,20,3,3,1,1,10,145000,145000
5452126,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9129222,1,9,1,2,2,2,2,2,45,4,3,1,1,5,101348,101348
9310916,1,9,1,1,1,2,2,5,18,1,1,1,9,6,85000,85000
2505545,1,9,1,1,1,2,2,10,25,4,3,1,9,4,71898,71898
5503479,2,9,2,2,2,2,2,2,0,0,0,1,1,3,0,0
2464869,1,9,1,1,1,2,2,10,24,2,4,1,9,9,85000,85000
3630886,9,9,1,2,2,1,1,4,36,2,1,1,9,24,119500,119500
2963359,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8205980,2,9,1,1,1,2,2,4,20,3,1,1,9,0,60000,60000
9905169,1,9,1,1,1,2,2,3,3,3,3,1,9,4,60000,60000
8510748,2,9,2,2,2,2,2,0,0,0,0,1,2,0,0,0
7691710,1,9,1,1,1,2,2,12,35,3,3,1,9,9,80000,80000
6194576,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9315529,1,9,1,1,1,2,2,4,14,2,2,1,9,8,60000,60000
8362221,1,9,2,1,1,2,2,8,36,2,2,1,9,6,101348,101348
8913683,1,9,1,1,1,2,2,1,36,1,1,1,9,6,51348,51348
3043465,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6211348,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9456542,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8587610,9,9,2,2,2,1,1,2,32,1,1,1,1,2,0,0
1869349,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4896404,2,9,1,2,2,2,2,0,0,0,0,1,1,0,0,0
8169620,1,9,1,1,1,2,2,1,36,1,1,1,9,6,51348,51348
1784114,9,9,1,2,2,1,1,5,29,2,2,1,3,9,120000,120000
4966179,1,9,1,1,1,1,1,1,11,3,0,1,1,6,100000,100000
6440895,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1668863,9,9,2,2,2,1,1,4,24,5,5,1,1,2,0,0
5305878,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6045050,1,9,1,1,1,2,2,18,30,2,2,1,9,6,85000,85000
4810364,1,9,1,1,1,2,2,2,26,2,0,1,9,3,96898,96898
1907757,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3902713,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5969159,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2173393,1,9,2,1,2,2,2,7,4,2,0,1,9,4,60000,60000
1612692,1,9,2,1,2,2,2,18,25,12,2,1,9,2,85000,85000
4619613,1,9,2,1,2,2,2,2,25,8,2,1,9,4,85000,85000
9190361,1,9,1,1,1,1,1,3,36,3,3,1,3,12,156348,156348
8058152,1,9,1,1,1,2,2,1,25,1,1,1,9,4,60000,60000
9872484,9,9,1,2,2,2,2,3,28,10,3,1,1,5,0,0
7854870,9,9,2,2,2,1,1,3,15,3,3,1,1,3,0,0
4213810,2,9,2,2,2,2,2,0,0,0,0,2,1,3,0,0
6117957,1,9,1,1,1,2,2,6,26,1,1,1,9,5,85000,85000
5402898,9,9,1,2,2,1,1,4,36,5,3,1,1,11,149500,149500
5864579,9,9,1,2,2,1,1,2,15,2,0,1,1,18,725000,724984
5638176,1,9,1,1,1,2,2,2,27,1,1,1,9,4,71898,71898
9402345,9,9,2,2,2,2,2,2,24,2,2,1,1,12,0,0
8874366,2,9,1,2,2,2,2,3,4,4,2,1,1,0,0,0
2840724,2,9,1,1,1,2,2,10,36,2,2,1,9,7,89500,89500
2020876,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7513960,1,9,1,1,1,2,2,1,31,1,1,1,9,7,60000,60000
4797585,2,9,2,2,2,2,2,5,10,1,1,1,1,2,0,0
5411397,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5757427,1,9,2,1,1,2,2,11,22,8,3,1,9,3,60000,60000
7534159,1,9,1,1,1,2,2,20,24,12,12,1,9,18,85000,0
8232445,1,9,1,1,1,1,1,2,8,1,1,1,1,24,125000,105000
6872631,1,9,2,1,1,2,2,30,24,2,1,1,9,0,101348,101348
9137863,1,9,1,1,2,2,2,8,24,4,4,1,9,6,60000,60000
9477216,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7756010,1,9,1,1,2,2,2,3,30,8,4,1,9,5,96898,96898
7856478,2,9,2,2,2,2,2,4,2,0,0,1,3,4,0,0
6282612,9,9,1,2,2,1,1,2,34,1,1,1,1,12,144500,144500
2721134,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7412024,9,9,1,2,2,1,1,3,34,3,3,1,1,14,144500,134500
9772282,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5626713,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9258878,1,9,1,1,1,1,1,1,20,1,2,1,1,12,140000,140000
8127141,9,9,1,2,2,1,1,12,23,10,9,1,1,22,120000,116229
4555628,1,9,1,2,2,2,2,1,14,2,4,1,3,2,0,0
4814016,2,9,1,2,2,2,2,4,7,1,2,1,3,2,0,0
5276351,2,9,1,1,1,1,1,2,9,1,0,1,1,15,0,0
4428561,2,9,2,2,2,2,2,2,15,2,1,1,1,3,0,0
6113930,9,9,1,2,2,1,1,3,8,2,2,1,1,6,0,0
1963412,2,9,2,1,1,1,1,1,3,1,0,1,3,4,0,0
4391724,9,9,1,2,2,1,1,4,12,3,4,1,1,18,105000,105000
9308521,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1447216,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7768790,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6863228,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7055536,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
