_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
1,7725201,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,035-S Kakraula,,,1,3,1,5,5,110059,2,2,3,0,1,19,0,0,0,0,0,1,2,9,210,1,0,0,7,1,0,0
2,2367364,DELHI,SOUTH WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,048-S Bijwasan,,,2,3,1,8,5,110037,2,2,3,0,2,19,0,0,0,0,0,1,1,9,237,1,9,8,0,0,4,1
3,6120762,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,057-N Rohini-F,,,2,3,1,8,5,110042,2,2,3,0,2,19,0,0,0,0,0,1,2,9,220,1,0,0,1,1,0,0
4,4507101,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,043-E Gautam Puri,,,1,1,1,5,3,110053,2,1,3,0,2,4,18,19,0,0,0,1,2,2,220,1,0,0,2,0,0,0
5,3872603,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,033-E Sunder Nagri,,,1,2,1,5,3,110093,2,2,3,0,2,4,19,0,0,0,0,1,1,2,223,1,0,25,0,0,0,0
6,8604466,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,037-N Nangloi,,,1,2,1,5,3,110041,2,1,3,0,2,4,0,0,0,0,0,1,1,2,220,1,0,21,0,1,0,23
7,4806652,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,004-N Holambi Khurd,,,1,3,1,5,3,110082,2,2,3,0,2,4,0,0,0,0,0,1,1,2,216,1,16,24,0,0,0,1
8,9202264,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,063-N Shalimar Bagh -South,,,1,3,1,5,3,110088,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,22,29,0,0,0,0
9,2315473,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,023-N Samaypur Badli,,,1,3,1,5,5,110042,2,2,3,0,2,19,0,0,0,0,0,1,2,9,228,1,1,1,31,14,0,0
10,6735393,DELHI,SOUTH,2,South Delhi Municipal Corporation-Municipal Corporations,085-S Sangam Vihar-E,,,1,3,1,5,5,110062,2,2,3,0,2,19,0,0,0,0,0,1,2,9,220,1,8,2,0,0,0,0
11,9232187,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,058-E Mustafabad,,,2,3,1,8,5,110094,2,2,3,0,2,19,0,0,0,0,0,1,2,9,238,1,0,0,0,0,0,0
12,9838348,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,043-N Prem Nagar,,,2,3,1,8,5,110086,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,41,33,12,10,0,0
13,8144977,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,007-N Burari,,,2,3,1,8,5,110084,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,53,21,5,6,0,0
14,7164747,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,MUNDKA,,,6,3,1,10,5,110041,2,2,3,0,2,19,0,0,0,1,0,1,1,9,220,1,13,12,5,3,0,0
15,7984497,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,024-E Geeta Colony,,,7,3,6,10,1,110031,2,2,3,0,2,4,19,0,0,1,0,1,9,9,220,1,0,0,0,0,0,0
16,8343866,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,031-E Shahdara,,,7,1,6,10,1,110095,2,2,3,0,2,4,19,0,0,1,0,1,9,9,220,1,0,0,0,0,0,0
17,7380850,DELHI,WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,100-N Moti Nagar,,,6,3,1,10,5,110015,2,2,3,0,2,19,0,0,0,1,0,1,1,9,220,1,25,21,15,4,0,0
18,9827891,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,084-N Chandni Chowk,,,3,1,1,12,4,110006,2,2,3,0,2,4,0,0,0,1,1,1,2,2,220,1,0,0,0,0,0,0
