pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
1003076,42,35,7,0,23,11,1,7,35,0,7,0,16,26,28,0,6,0,21,15,0,0,0,0,25,0,0,32,3,6,0,1,0,0,0,0,5
1003536,58,0,58,0,30,12,3,13,33,4,21,0,18,40,43,0,13,0,27,16,1,1,0,0,2,1,0,52,1,4,0,0,0,0,0,0,1
1005431,44,43,1,0,30,10,0,4,36,0,8,0,14,30,12,0,4,0,18,22,0,0,0,0,2,1,1,38,0,4,0,0,0,0,0,0,5
1008445,54,11,43,0,54,0,0,0,28,26,0,1,20,33,54,18,5,2,10,11,0,1,6,1,1,2,1,38,2,10,0,0,0,0,1,0,43
1008535,5,0,5,0,4,0,0,1,5,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
1009707,6,6,0,0,2,3,1,0,5,1,0,1,3,2,5,6,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,4
1009955,231,15,216,0,231,0,0,0,163,68,0,0,83,148,56,101,30,0,42,26,6,0,25,1,0,0,0,174,9,43,0,3,0,0,2,0,0
1010863,6,2,4,0,6,0,0,0,5,1,0,0,5,1,0,3,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
1011087,6,4,2,0,3,0,0,3,6,0,0,2,3,1,4,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,1,0,1
1012188,21,9,12,0,21,0,0,0,3,18,0,0,11,10,21,8,3,0,2,4,1,2,0,1,0,1,1,16,0,3,0,0,0,0,0,0,5
1012908,14,13,1,0,6,6,0,2,14,0,0,3,9,2,1,14,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,1,0,0,0,0,1
1013495,75,58,17,0,45,9,11,10,52,2,21,0,25,50,19,7,18,0,26,21,0,1,2,0,5,5,5,54,2,7,0,2,0,0,0,0,3
1013582,11,0,11,0,11,0,0,0,1,10,0,3,4,4,1,8,0,0,0,0,0,0,3,0,0,3,0,3,0,1,0,0,0,2,2,0,0
1016414,17,1,16,0,13,3,0,1,16,1,0,0,5,12,8,16,0,0,0,0,0,0,1,0,0,6,1,7,1,1,0,0,0,0,1,0,2
1016653,5,0,5,0,1,3,0,1,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
1019414,60,5,55,0,49,2,3,6,39,21,0,0,18,42,60,26,6,0,6,11,2,3,6,0,0,0,4,45,1,5,0,2,0,0,3,0,56
1022394,14,1,13,0,14,0,0,0,11,3,0,0,7,7,12,11,0,0,0,0,0,0,3,0,0,1,2,5,1,5,0,0,0,0,0,0,2
1023986,9,0,9,0,9,0,0,0,9,0,0,0,9,0,7,7,0,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,2,0,1
1024713,78,3,75,0,47,8,1,22,65,0,13,0,28,50,49,0,28,0,23,18,5,4,0,0,7,0,4,68,3,3,0,0,0,0,0,0,3
1025908,4,2,2,0,4,0,0,0,4,0,0,1,3,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
1027303,10,0,10,0,10,0,0,0,4,6,0,0,4,6,10,9,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,10
1027882,68,1,67,0,44,12,3,9,58,2,8,1,25,42,21,10,18,0,18,16,3,0,3,0,4,9,6,42,2,6,0,3,0,0,0,0,3
1028953,10,1,9,0,10,0,0,0,10,0,0,0,5,5,8,8,0,0,0,0,0,0,2,0,0,1,1,6,0,1,0,0,0,0,1,0,1
1029336,69,13,56,0,61,3,5,0,62,7,0,3,28,38,69,28,19,1,9,9,2,1,0,0,56,2,0,48,2,13,0,0,0,1,3,0,69
1030252,44,7,37,0,44,0,0,0,18,26,0,0,13,31,28,11,12,0,4,10,3,1,3,0,8,2,0,33,3,1,0,1,0,0,4,0,0
1030954,4,0,4,0,2,2,0,0,1,3,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
1032829,13,4,9,0,13,0,0,0,6,7,0,0,10,3,10,7,3,3,0,0,0,0,0,0,7,1,1,8,1,1,0,0,0,0,1,0,0
1033242,7,0,7,0,6,1,0,0,7,0,0,0,5,2,3,7,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,0,0,0,0,0,1
1034279,47,2,45,0,33,8,2,4,39,0,8,0,14,33,28,0,11,0,11,8,16,1,0,0,6,1,0,42,3,1,0,0,0,0,0,0,2
1036889,9,2,7,0,5,2,1,1,8,1,0,0,8,1,3,7,0,0,0,0,0,0,2,0,8,5,0,2,0,0,0,1,0,0,1,0,1
1039746,9,0,9,0,4,3,0,2,9,0,0,0,4,5,2,7,0,0,0,0,0,0,2,0,3,1,1,5,0,0,0,1,0,1,0,0,2
1039894,6,0,6,0,6,0,0,0,6,0,0,0,3,3,0,2,4,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0
1040500,21,2,19,0,13,1,0,7,19,2,0,1,13,7,2,20,0,0,0,0,0,0,1,0,1,13,0,5,0,0,0,1,0,2,0,0,1
1041109,21,4,17,0,21,0,0,0,21,0,0,1,15,5,15,8,3,5,2,0,1,0,0,2,5,1,3,16,0,0,0,0,0,1,0,0,1
1042377,46,2,44,0,46,0,0,0,29,17,0,0,19,27,45,16,6,0,5,14,0,0,5,0,2,1,0,41,1,2,0,1,0,0,0,0,2
1043005,50,44,6,0,32,9,2,7,36,1,13,0,18,32,16,6,15,0,16,11,1,0,1,0,2,6,0,31,8,4,0,1,0,0,0,0,5
1043816,9,0,9,0,9,0,0,0,9,0,0,0,8,1,5,3,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1044481,47,17,30,0,25,10,2,10,36,0,11,0,12,35,47,0,2,0,2,0,43,0,0,0,0,1,0,43,3,0,0,0,0,0,0,0,47
1045089,9,1,8,0,9,0,0,0,5,4,0,0,8,1,2,7,1,0,0,0,0,0,1,0,0,4,1,2,1,0,0,0,0,0,1,0,1
1045693,5,1,4,0,1,0,0,4,4,1,0,1,2,2,5,5,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,0,5
1047790,6,0,6,0,6,0,0,0,4,2,0,2,4,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,1,0,1
1048163,5,2,3,0,5,0,0,0,5,0,0,0,3,2,3,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1
1050465,10,3,7,0,4,0,0,6,10,0,0,0,6,4,3,10,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,1
1051140,32,2,30,0,16,6,0,10,18,0,14,0,10,22,22,0,7,0,16,0,9,0,0,0,9,1,0,25,2,2,0,2,0,0,0,0,15
1051652,16,0,16,0,16,0,0,0,7,9,0,0,6,10,15,9,2,0,4,0,0,0,1,0,6,0,0,11,1,4,0,0,0,0,0,0,4
1052361,9,2,7,0,8,0,0,1,9,0,0,5,4,0,4,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1052508,5,0,5,0,4,1,0,0,5,0,0,0,5,0,1,5,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1
1053259,6,2,4,0,2,3,0,1,5,1,0,0,2,4,3,5,0,0,0,0,0,0,1,0,1,4,0,2,0,0,0,0,0,0,0,0,1
1053962,29,12,17,0,29,0,0,0,15,5,9,1,9,19,20,2,9,2,3,4,2,5,2,0,10,3,0,22,0,3,0,1,0,0,0,0,4
1054915,10,2,8,0,8,1,1,0,10,0,0,0,5,5,4,3,4,0,3,0,0,0,0,0,3,2,2,4,0,2,0,0,0,0,0,0,0
1055917,59,12,47,0,57,1,0,1,41,18,0,0,20,39,57,16,11,0,10,12,2,1,7,0,1,1,0,40,1,15,0,0,0,0,2,0,2
1056143,6,0,6,0,5,0,0,1,1,4,1,0,4,2,5,4,1,1,0,0,0,0,0,0,6,0,0,2,0,3,0,0,0,0,1,0,0
1061280,39,1,38,0,26,12,0,1,29,0,10,0,4,35,12,0,11,0,14,14,0,0,0,0,16,0,0,33,0,5,0,1,0,0,0,0,5
1063153,12,1,11,0,12,0,0,0,12,0,0,0,3,9,12,1,2,1,6,0,1,0,1,0,11,1,0,8,0,0,0,1,1,0,1,0,1
1068967,4,0,4,0,4,0,0,0,2,2,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
