_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode
4,4507101,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,043-E Gautam Puri,,,1,1,1,9014198,13521295,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,043-E Gautam Puri,,,1,1,1,18028392,22535489,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,043-E Gautam Puri,,,1,1,1,27042586,31549683
5,3872603,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,033-E Sunder Nagri,,,1,2,1,7745201,11617799,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,033-E Sunder Nagri,,,1.333333333,1.333333333,1.333333333,15490397,19362995,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,033-E Sunder Nagri,,,1.333333333,1.333333333,1.333333333,23235593,27108191
6,8604466,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,037-N Nangloi,,,1,2,1,17208926,25813386,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,037-N Nangloi,,,1.333333333,1.333333333,1.333333333,34417846,43022306,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,037-N Nangloi,,,1.333333333,1.333333333,1.333333333,51626766,60231226
7,4806652,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,004-N Holambi Khurd,,,1,3,1,9613297,14419942,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,004-N Holambi Khurd,,,1.666666667,1.666666667,1.666666667,19226587,24033232,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,004-N Holambi Khurd,,,1.666666667,1.666666667,1.666666667,28839877,33646522
8,9202264,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,063-N Shalimar Bagh -South,,,1,3,1,18404520,27606776,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,063-N Shalimar Bagh -South,,,1.666666667,1.666666667,1.666666667,36809032,46011288,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,063-N Shalimar Bagh -South,,,1.666666667,1.666666667,1.666666667,55213544,64415800
15,7984497,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,024-E Geeta Colony,,,7,3,6,15968979,23953461,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,024-E Geeta Colony,,,4.333333333,3.833333333,3.333333333,31937943,39922425,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,024-E Geeta Colony,,,2.833333333,2.333333333,1.833333333,47906907,55891389
16,8343866,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,031-E Shahdara,,,7,1,6,16687716,25031566,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,031-E Shahdara,,,3.666666667,3.166666667,2.666666667,33375416,41719266,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,031-E Shahdara,,,2.166666667,1.666666667,1.166666667,50063116,58406966
19,4207287,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,044-E Bhajan Pura,,,5,3,6,8414555,12621823,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,044-E Bhajan Pura,,,5.666666667,6.166666667,6.666666667,16829091,21036359,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,044-E Bhajan Pura,,,7.166666667,7.666666667,8.166666667,25243627,29450895
20,2416801,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,034-N Rohini D,,,10,3,9,4833582,7250363,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,034-N Rohini D,,,6.333333333,5.833333333,5.333333333,9667144,12083925,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,034-N Rohini D,,,4.833333333,4.333333333,3.833333333,14500706,16917487
24,5875718,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,077-N Model Town,,,1,3,1,5,3,110009,2,2,3,0,2,4,0,0,0,0,0,1,1,2,220,1,11,14,3,0,0,0,
